H_name,H_price,H_rating,location
Ayar Jungle Resort,7122,4.0,Nainital
The Hive Cottage,6720,4.5,Nainital
Hotel Mount N Lake,1270,3.0,Nainital
Goroomgo Radha Continental Nainital,1591,3.0,Nainital
Hotel Himalaya,3192,3.5,Nainital
OYO Flagship View Point Resort,1841,4.0,Nainital
Hotel Suman Paradise,3894,4.0,Nainital
goSTOPS Nainital,2240,5.0,Nainital
Himalayan Retreat Neelkanth,2980,4.0,Nainital
Kafal Resort,3593,4.0,Nainital
Cygnett Resort Mountain Breeze,4150,4.5,Nainital
H K Legacy,1278,4.0,Nainital
Goroomgo Lake View Mall Road Nainital,1255,2.5,Nainital
Hotel Happy Home The Lake Paradise,2127,1.0,Nainital
The Naini Retreat by Leisure Hotels Group,17825,4.5,Nainital
The Manu Maharani,17110,4.5,Nainital
WelcomHeritage Ashdale,10620,5.0,Nainital
Singtom Tea Estate Resort,7840,4.5,Darjeeling
Sinclairs Darjeeling,4225,4.5,Darjeeling
Udaan Himalayan Suites and Spa,2910,5.0,Darjeeling
Sumi Yashshree Suites Spa,3904,4.5,Darjeeling
Sterling Darjeeling,5618,4.0,Darjeeling
Mayfair Darjeeling,10266,4.5,Darjeeling
Summit Swiss Heritage Hotel Spa,4115,4.0,Darjeeling
Sumitel Suites Spa by Sumi Yashshree,3038,5.0,Darjeeling
Udaan Dekeling Resort Darjeeling,3465,4.5,Darjeeling
Ramada by Wyndham Darjeeling Gandhi Road,6384,4.5,Darjeeling
Summit Hermon Hotel Spa,3820,4.5,Darjeeling
Singtom Tea Estate Resort,7840,4.5,Darjeeling
Viceroy Hotel,5508,4.0,Darjeeling
Mount Conifer Suites Spa,5706,4.5,Darjeeling
Summit Grace Hotel Spa,3717,4.0,Darjeeling
Zambala Retreat Spa Darjeeling By Anant Groups of Hotels,2835,4.5,Darjeeling
Singtom Tea Estate Resort,7840,4.5,Darjeeling
Sinclairs Darjeeling,4665,4.5,Darjeeling
Shangrila Regency,2619,4.0,Darjeeling
Central Heritage Resort and Spa Darjeeling,2364,3.5,Darjeeling
The Elgin Darjeeling,11800,4.0,Darjeeling
Cedar Inn,12980,4.5,Darjeeling
Little Tibet Resort,3024,4.5,Darjeeling
Hermitage Resort Darjeeling,4043,4.0,Darjeeling
Sanderling Resort Spa,3514,4.5,Darjeeling
Hotel Villa Everest,3572,4.5,Darjeeling
The Rope Resorts,1814,5.0,Darjeeling
Humro Himalayan Orchid,1848,4.0,Darjeeling
Omega Residency,5577,4.0,Darjeeling
Sunflower Group Of Hotels,1886,4.0,Darjeeling
Hotel Tower View,900,3.0,Darjeeling
Tin Tin Boutique Hotel,1794,5.0,Darjeeling
The Grace Inn,2240,3.5,Darjeeling
Ellaa Hotel,7064,4.5,Hyderabad
Hotel GreenPark,8288,4.5,Hyderabad
Avasa,11771,4.5,Hyderabad
Red Fox Hotel HITEC City,9209,4.5,Hyderabad
Oakwood Residence Kapil Hyderabad,19175,5.0,Hyderabad
Taj Krishna Hyderabad,14160,4.5,Hyderabad
The Park Hyderabad,7655,4.5,Hyderabad
Novotel Hyderabad Convention Centre,12213,4.5,Hyderabad
Marigold By Greenpark,9529,4.5,Hyderabad
Lemon Tree Hotel Gachibowli Hyderabad,10870,4.5,Hyderabad
Vivanta Hyderabad Begumpet,8400,4.5,Hyderabad
The Park Hyderabad,7655,4.5,Hyderabad
Taj Falaknuma Palace Hyderabad,59000,4.5,Hyderabad
Ellaa Hotel,6450,4.5,Hyderabad
Ibis Hyderabad HITEC City Hotel,7615,4.5,Hyderabad
Royalton Hotel,3953,4.0,Hyderabad
The Golkonda Resorts Spa,19339,4.5,Hyderabad
Mercure Hyderabad KCP,15187,4.5,Hyderabad
Leonia Holistic Destination,6071,4.5,Hyderabad
Radisson Blu Plaza Hotel Hyderabad Banjara Hills,12980,4.5,Hyderabad
The Manohar Hyderabad,5376,4.0,Hyderabad
Le Meridien Hyderabad,11800,5.0,Hyderabad
The Golkonda Hotel,10106,4.5,Hyderabad
Katriya Hotel Towers,2455,3.5,Hyderabad
Vivanta Hyderabad Begumpet,8400,4.5,Hyderabad
Hotel B Plus L,6373,4.5,Hyderabad
Aditya Hometel,3528,4.5,Hyderabad
Treebo Trend Address Inn,2653,5.0,Hyderabad
The Peerless Inn Hyderabad,2524,3.5,Hyderabad
Hotel Deccan Serai,8064,4.0,Hyderabad
Park Hyatt Hyderabad,22420,4.5,Hyderabad
Button Eyes Resort,5141,4.5,Hyderabad
Itsy By Treebo Tals Hytek,2006,4.0,Hyderabad
Treebo Trip Arastu Inn,1911,4.0,Hyderabad
DholariDhani,3780,3.0,Hyderabad
Fabhotel Pearl City,2386,3.0,Hyderabad
ITC Kakatiya Hyderabad a Luxury Collection Hotel,11118,4.5,Hyderabad
Sanskriti Vedic Retreat,6098,4.5,Rishikesh
HOLYWATER Hotel by Ganga Kinare,5600,5.0,Rishikesh
GANGA KINARE A Riverside Boutique Resort,13570,4.5,Rishikesh
Yog Niketan by Sanskriti,12980,4.5,Rishikesh
Sterling Palm Bliss Rishikesh,8878,4.5,Rishikesh
Live Free Hostel Rishikesh,2464,5.0,Rishikesh
HOLYWATER Hotel by Ganga Kinare,5600,5.0,Rishikesh
Veda Ayurveda Yoga Retreat,9362,5.0,Rishikesh
Holy River Hotel,5600,5.0,Rishikesh
Sanskriti Vedic Retreat,6098,4.5,Rishikesh
Kunwar Residency,7540,4.5,Rishikesh
Divine Resort Spa,13721,4.5,Rishikesh
Sanskriti Vedic Retreat,6098,4.5,Rishikesh
Camp Brook,11200,5.0,Rishikesh
The Vilana,5263,5.0,Rishikesh
Shaantam Resorts and Spa Rishikesh,10620,5.0,Rishikesh
Hotel Yog Vashishth,3584,4.5,Rishikesh
goSTOPS Rishikesh Tapovan,1680,4.0,Rishikesh
HOLYWATER Hotel by Ganga Kinare,5600,5.0,Rishikesh
Skyard Rishikesh Laxman Jhula,1427,5.0,Rishikesh
EllBee Ganga View,5543,4.5,Rishikesh
goSTOPS Rishikesh Lakshman Jhula,2240,4.0,Rishikesh
Aloha The Ganga Bliss,6552,4.0,Rishikesh
Avenue Resort,11032,4.5,Rishikesh
Hotel Natraj,6160,4.5,Rishikesh
Hotel The Great Ganga,6640,4.5,Rishikesh
Neer Ganga Resorts,8921,5.0,Rishikesh
Regenta Inn On The Ganges Rishikesh,5650,4.5,Rishikesh
Bliss Ganga Rishikesh,3357,4.5,Rishikesh
Hill Top Swiss Cottage,2715,4.0,Rishikesh
Luxury Aloha Apartments,4872,3.5,Rishikesh
The Hideaway Bedzzz Rishikesh by Leisure Hotels Group,4443,4.5,Rishikesh
Nishantam Rishikesh,4990,4.5,Rishikesh
Hotel Green One Earth,5064,3.5,Rishikesh
Ocean Spray,7880,4.0,Pondicherry
Le Royal Park Puducherry,5917,4.0,Pondicherry
Accord Puducherry,8058,4.5,Pondicherry
The Promenade,8929,4.0,Pondicherry
Radisson Resort Pondicherry Bay,14750,4.5,Pondicherry
Le Royal Park Puducherry,4846,4.0,Pondicherry
The Residency Towers Puducherry,12154,5.0,Pondicherry
Ginger Pondicherry,3695,4.0,Pondicherry
Le Dupleix,10265,4.5,Pondicherry
Devis Grand,1848,4.5,Pondicherry
Le Pondy,10397,4.0,Pondicherry
Accord Puducherry,8058,4.5,Pondicherry
Grand Hotel D Europe,17476,5.0,Pondicherry
Villa Shanti,10455,4.5,Pondicherry
Annamalai International Hotel,4144,4.0,Pondicherry
Treebo Trend Grace Inn,2768,4.5,Pondicherry
Shenbaga Hotel Convention Centre,8400,4.0,Pondicherry
White Pearl Residency,3579,4.5,Pondicherry
Prince Park Farm House,3413,4.0,Pondicherry
Hotel South Avenue,3204,4.0,Pondicherry
Hotel Arunachala,1159,4.0,Pondicherry
Hotel Villa Krish,6720,4.0,Pondicherry
Ocean Spray,7341,4.0,Pondicherry
Pleasant Inn Pondicherry,1915,4.0,Pondicherry
The Dune Eco Village Spa,7315,3.5,Pondicherry
Dune de lOrient,10619,4.0,Pondicherry
Cours CHABROL,5202,4.0,Pondicherry
The Sunway Manor,5350,4.0,Pondicherry
The Promenade,9924,4.0,Pondicherry
Treebo Trend Hotel Corbelli,2576,3.5,Pondicherry
La Closerie,9912,4.0,Pondicherry
K Resort,15340,4.5,Pondicherry
La Grrande Malar,4107,4.0,Pondicherry
Hotel Ayushman,1308,3.5,Pondicherry
Prince Park Farm House,3838,4.0,Pondicherry
Mayfair Spa Resort Casino Gangtok,10266,4.5,Gangtok
Udaan Woodberry Hotel and Spa,2402,5.0,Gangtok
Sumi Shangrila Deorali Gangtok,2429,5.0,Gangtok
The Fern Denzong Hotel Spa Gangtok,5363,4.5,Gangtok
Summit Namnang Courtyard Spa,1700,4.5,Gangtok
Summit Ttakshang Residency Hotel Spa,2697,4.0,Gangtok
Mayfair Spa Resort Casino Gangtok,10266,4.5,Gangtok
Summit Golden Crescent Resort Spa,1773,4.5,Gangtok
Udaan Alpine Resort Gangtok,2340,5.0,Gangtok
Lemon Tree Hotel Gangtok,6357,5.0,Gangtok
ShriGo Hotels Gangtok,2592,5.0,Gangtok
Hotel Sonam Delek,3413,4.5,Gangtok
Summit Norling Resort Spa,1977,4.0,Gangtok
Sterling Gangtok Orange Village,4617,4.5,Gangtok
The Golden Crest,1774,4.5,Gangtok
The Elgin NorKhill Gangtok,11800,4.5,Gangtok
Ramada by Wyndham Gangtok Hotel Casino Golden,6586,4.5,Gangtok
The Elgin NorKhill Gangtok,11210,4.5,Gangtok
Hotel Sonam Delek,3115,4.5,Gangtok
Hotel SherEPunjab,1613,4.5,Gangtok
Hotel New Orchid Spa,1209,4.5,Gangtok
Mount Himalayan Hotel Spa,1566,4.5,Gangtok
Summit Oriental Boutique Hotel Spa,2636,4.0,Gangtok
Summit Namnang Courtyard Spa,1874,4.5,Gangtok
Hotel Dew Pond,1256,4.5,Gangtok
Denzong Regency A Luxury Mountain Retreat Spa Casino,10323,4.5,Gangtok
Denzong Shangrila Hotel Spa Managed by Voyage Hospitality,1913,4.5,Gangtok
Sharolyn Boutique,1220,5.0,Gangtok
Yangthang Heritage,4760,4.0,Gangtok
Summit Golden Crescent Resort Spa,1930,4.5,Gangtok
Hotel Petals,2061,5.0,Gangtok
Tempo Heritage Resort And Spa,2822,5.0,Gangtok
Gangtok Central Rooms,744,3.5,Gangtok
Hotel Ninamma,986,4.0,Gangtok
Muscatel Grand Silk Route,1411,4.0,Gangtok
Summit Norling Resort Spa,2180,4.0,Gangtok
Shaheen Bagh Resort,11857,4.5,Dehradun
Lemon Tree Hotel Dehradun,5877,4.5,Dehradun
Four Points by Sheraton Dehradun,7085,4.5,Dehradun
Red Fox Hotel Dehradun,3959,5.0,Dehradun
Sarovar Portico Dehradun,5034,4.5,Dehradun
Fairfield by Marriott Dehradun,9440,4.5,Dehradun
Sarovar Portico Dehradun,5453,4.5,Dehradun
Ramada by Wyndham Dehradun Chakrata Road,4188,4.5,Dehradun
Seyfert Sarovar Premiere,5363,4.5,Dehradun
LP Residency,3838,5.0,Dehradun
Clarks Collection Epicure Dehradun,3271,5.0,Dehradun
Hotel Rajpur Heights,1739,4.5,Dehradun
Shaheen Bagh Resort,11857,4.5,Dehradun
Hotel Madhuban,3651,4.0,Dehradun
The Solitaire,4385,4.0,Dehradun
Keys Prima by Lemon Tree Hotels Aketa Dehradun,7870,4.5,Dehradun
Hotel Saffron Leaf,3587,4.5,Dehradun
Hotel Deepshikha,1387,4.0,Dehradun
The Solitaire Express,2082,4.0,Dehradun
Hotel White Rock By The Solitaire Hospitality,2333,5.0,Dehradun
Shaheen Bagh Resort,11857,4.5,Dehradun
Townhouse OAK HW Residency,932,4.5,Dehradun
Hotel Vishnu Inn,1125,3.5,Dehradun
Hyatt Regency Dehradun,29500,5.0,Dehradun
Hotel Grand Legacy,2017,4.0,Dehradun
Hotel Skyking,2606,5.0,Dehradun
Cygnett Inn Paras,3114,4.5,Dehradun
Hotel Boulevard,6207,4.5,Dehradun
OYO Hotel Central Park Inn,1254,4.0,Dehradun
OYO Flagship Canal Road,1231,3.5,Dehradun
Tree of Life Resort Dehradun Foothills,6607,4.5,Dehradun
Hotel Ajanta Continental,3410,3.5,Dehradun
OYO Hotel Narula,1093,3.0,Dehradun
Hyatt Regency Dehradun,29500,5.0,Dehradun
Hotel Pacific Dehradun,4878,4.0,Dehradun
The Zen Resort Ladakh,12505,4.5,Leh
The Abduz,12033,5.0,Leh
Chospa Hotel,8041,5.0,Leh
The Grand Dragon Ladakh,14992,4.5,Leh
SiaLa Guesthouse,3941,4.5,Leh
The Indus Valley,4968,4.5,Leh
Padma Ladakh,6162,5.0,Leh
The Zen Resort Ladakh,11350,4.5,Leh
Ladakh Palace boutique hotel,4372,5.0,Leh
Lasermo Ladakh,7271,4.5,Leh
Zostel Leh,3359,4.5,Leh
Hotel Ladakh Imperial,2290,4.5,Leh
Chospa Hotel,8736,5.0,Leh
Shaolin Ladakh,21003,4.5,Leh
Skyland Guest House,1924,4.5,Leh
Hotel Cho Palace,15930,4.5,Leh
Dolkhar,20650,4.5,Leh
The Auspicious Hotel,3334,4.0,Leh
Skyland Guest House,2087,4.5,Leh
Hotel Zomday Ladakh,3437,4.0,Leh
Hotel Hill Town,18506,4.5,Leh
Takski Horpo Guest House,2532,5.0,Leh
Padma Ladakh,5725,5.0,Leh
Hotel Lakrook,8991,4.5,Leh
The Grand Dragon Ladakh,13980,4.5,Leh
Hotel K Continental,19954,4.0,Leh
Overland Heights,2120,5.0,Leh
The Grand Ladakh,13501,4.5,Leh
Dolma Guest House,2240,3.5,Leh
Pal Hotel,7492,4.0,Leh
Lasermo Ladakh,7940,4.5,Leh
Hotel Pangong Residency,2678,4.0,Leh
Hotel Munshi Continental,4620,4.0,Leh
Hotel Khardongla,11348,4.5,Leh
Mountain Retreat Guest House,3528,4.0,Leh
Chomal Huts,7800,5.0,Leh
Gangs Shun Homestay,15120,4.0,Leh
Sarovar Portico,3133,4.0,Ahmedabad
Four Points by Sheraton Ahmedabad,6254,4.5,Ahmedabad
Radisson Blu Hotel Ahmedabad,8399,4.5,Ahmedabad
The Hillock Ahmedabad,6719,5.0,Ahmedabad
The Ummed Ahmedabad,7839,4.5,Ahmedabad
Lemon Tree Premier The Atrium Ahmedabad,5632,4.5,Ahmedabad
Hyatt Regency Ahmedabad,10080,4.5,Ahmedabad
Vivanta Ahmedabad SG Highway,12390,5.0,Ahmedabad
Lemon Tree Hotel Ahmedabad,5084,4.5,Ahmedabad
Rivera Sarovar Portico Ahmedabad,4939,4.0,Ahmedabad
BloomSuites Ahmedabad,6570,4.5,Ahmedabad
Sarovar Portico,3133,4.0,Ahmedabad
Fortune Landmark,7280,4.5,Ahmedabad
Sarovar Portico,2856,4.0,Ahmedabad
Riverview Hotel,5856,4.5,Ahmedabad
Hotel Regenta Inn Ranip Ahmedabad,5670,4.5,Ahmedabad
Renaissance Ahmedabad Hotel,8215,5.0,Ahmedabad
ITC Narmada A Luxury Collection Hotel Ahmedabad,11210,4.5,Ahmedabad
Wyndham Ahmedabad Shela,8123,4.5,Ahmedabad
Courtyard Ahmedabad,13658,4.5,Ahmedabad
Fairfield By Marriott Ahmedabad,6413,4.5,Ahmedabad
Hyatt Ahmedabad,9228,4.5,Ahmedabad
Taj Skyline Ahmedabad,24780,4.5,Ahmedabad
Kensville Golf and Country Club,4429,4.0,Ahmedabad
Ginger Ahmedabad Vastrapur,3471,4.5,Ahmedabad
Mango Hotels Tune,1773,4.0,Ahmedabad
Antarim Express,2164,4.5,Ahmedabad
Regenta Central Antarim,6821,4.5,Ahmedabad
The Ummed Ahmedabad,7839,4.5,Ahmedabad
SK Lords Eco Inn,3453,4.5,Ahmedabad
Hotel Pragati The Grand,2094,4.0,Ahmedabad
Hotel Alka Inn,3030,4.0,Ahmedabad
Hotel Kyra Airport,985,3.0,Ahmedabad
Taj Skyline Ahmedabad,24780,4.5,Ahmedabad
Fortune Select SG Highway,11800,4.5,Ahmedabad
Kashmir Mahal Resorts,3798,5.0,Srinagar
Four Points by Sheraton Srinagar,15930,5.0,Srinagar
Fortune Resort Heevan,16520,4.5,Srinagar
The Lalit Grand Palace Srinagar,23600,4.5,Srinagar
Vivanta Dal View,29500,4.5,Srinagar
WelcomHeritage Gurkha Houseboats,13216,4.5,Srinagar
The Shelter Heritage A Boutique Hotel,3136,5.0,Srinagar
Radisson Srinagar,11800,4.5,Srinagar
Hotel Solar Residency,3465,4.5,Srinagar
Lemon Tree Hotel Srinagar,9946,4.5,Srinagar
Chicago Group of Houseboats,5040,5.0,Srinagar
Prince of Kashmir Luxury Houseboat,12140,5.0,Srinagar
Kashmir Mahal Resorts,3798,5.0,Srinagar
RK Sarovar Portico,9026,4.0,Srinagar
The Orchard Retreat Spa,18772,5.0,Srinagar
Walisons Hotel,2909,4.5,Srinagar
The Shelter Heritage A Boutique Hotel,3136,5.0,Srinagar
Batra Hotels and Residences,6223,4.5,Srinagar
The Shelter Heritage A Boutique Hotel,3136,5.0,Srinagar
The Kabo Luxury Boutique Hotel,14136,5.0,Srinagar
Clarks Inn Srinagar,2519,4.5,Srinagar
Regenta Central Point Srinagar,9099,5.0,Srinagar
Hotel Heritage Luxury,4810,4.5,Srinagar
Hotel Grand Mahal,3575,4.5,Srinagar
Four Points by Sheraton Srinagar,15930,5.0,Srinagar
Mannat Resorts,3172,4.5,Srinagar
Hotel The Grand Mamta,4349,4.0,Srinagar
Hotel Mirage,11210,4.5,Srinagar
Golden Flower Heritage Houseboat,4480,5.0,Srinagar
Silver Oak,2132,4.5,Srinagar
Goona Palace Houseboat,6112,5.0,Srinagar
Hotel Royal Arabia,2107,4.5,Srinagar
Hotel Kashmir Inn,1192,4.5,Srinagar
Goona Palace Houseboat,6112,5.0,Srinagar
Welcome Hotel at Dal Lake Srinagar,6833,4.0,Srinagar
Comrade Inn,4680,4.0,Srinagar
Vivanta Dal View,29500,4.5,Srinagar
Hotel Holiday Resort,6384,4.0,Puri
Hotel Golden Tree Puri,5885,5.0,Puri
Sterling Puri,10726,4.5,Puri
Pride Ananya Resort,6160,4.5,Puri
Pramod Convention Beach Resort,8525,4.5,Puri
Toshali Sands,7580,4.0,Puri
Hotel Holiday Resort,6384,4.0,Puri
Seven Hills Hotel,5194,4.5,Puri
Om Leisure Resort Puri,7499,4.5,Puri
Hotel Gandhara,3359,4.5,Puri
Mayfair Heritage,13806,4.5,Puri
Sterling Puri,9125,4.5,Puri
Hotel Jeevan Sandhya,2608,4.5,Puri
Hotel Kakkson Villa,1944,3.5,Puri
Nayak Beach Resort,3567,3.5,Puri
Hotel Balaji International,4363,3.5,Puri
Hotel Pushpa,3632,3.5,Puri
Toshali Sands,7580,4.0,Puri
The Pearl,1575,4.0,Puri
Mayur Hotel,1891,4.5,Puri
Treebo Trend Hotel Sidhartha International,2619,4.0,Puri
Reba Beach Resort,2049,4.0,Puri
Hotel Bensen,3136,4.5,Puri
Seven Hills Hotel,5773,4.5,Puri
Hotel Sapphire International,2601,3.5,Puri
Asian Inn Beach Resort,2751,3.5,Puri
Gold Coast Beach Resort,2873,3.5,Puri
Hotel Janaki Residency,1850,3.5,Puri
Hotel Kalinga,1406,3.0,Puri
MAYFAIR Waves,13806,4.5,Puri
OYO Hotel Ashraya,1197,3.0,Puri
The Club Krishna Sea Sight,2674,4.5,Puri
OYO Hotel Royal Annex,1506,4.0,Puri
Hotel Sea Dream,989,2.0,Puri
Pipul Hotels Resorts,63427,4.5,Puri
Om Leisure Resort Puri,2822,4.5,Puri
Hotel Himdhara,2315,4.0,Dalhousie
Grand View Hotel,4497,5.0,Dalhousie
Fortune Park Dalhousie,7098,5.0,Dalhousie
JK Clarks Exotica Dalhousie,4234,4.5,Dalhousie
Indraprastha Resort,5459,4.5,Dalhousie
Best Western Dalhousie,5506,5.0,Dalhousie
Hotel AS Clarks Inn,4116,4.0,Dalhousie
Snow Valley Resorts Dalhousie,2585,4.0,Dalhousie
SS International Hotel and Spa,2723,5.0,Dalhousie
Amara Blue Magnets,1843,4.5,Dalhousie
Alps Resort Dalhousie,3599,4.5,Dalhousie
Hotel Mount View,3582,4.0,Dalhousie
Snow Valley Resorts Dalhousie,2874,4.0,Dalhousie
Mongas Hotel Resort,3449,4.5,Dalhousie
Mastiff Hotel Dalhousie,4600,5.0,Dalhousie
Satyam Int by PINEBERRY HOTELS,1835,4.0,Dalhousie
Zostel Dalhousie,1886,4.5,Dalhousie
Brij Villa,8399,5.0,Dalhousie
Lall Ji Tourist Resort,3907,3.5,Dalhousie
Hotel SS Resorts Dalhousie,2980,4.5,Dalhousie
Hotel Ark,3583,4.0,Dalhousie
Mohan Palace Dalhousie,2520,4.0,Dalhousie
Hotel Himgiri,2312,4.0,Dalhousie
Dingle House,2240,4.5,Dalhousie
Aaroham Resorts,7820,4.5,Dalhousie
Hotel Surya Resort,1721,3.5,Dalhousie
Hotel Pearl,1340,3.5,Dalhousie
Hotel Valley View,1049,3.5,Dalhousie
The Nesta Elements Dalhousie,2453,5.0,Dalhousie
Dalhousie Valley,3360,4.0,Dalhousie
Hotel Valley View,1191,3.5,Dalhousie
Hotel Megha View,1505,4.0,Dalhousie
Capital O Atithi Resort,1005,3.5,Dalhousie
Dalhousie Palace Hotel,1792,3.5,Dalhousie
Himalayan Camping,2871,4.0,Dalhousie
Hotel Basera,1655,4.0,Dalhousie
Amara Blue Magnets,2013,4.5,Dalhousie
